minFlux,maxFlux
-2.5423574616,0.0000000000
-2.5423574616,0.0000000000
-3.8135361925,0.0000000000
0.8485870012,8.8945138359
0.8485870012,8.8945138359
-3.8135361925,0.0000000000
0.0000000000,17.1609128661
0.0000000000,8.0459268347
-1.4300760722,0.0000000000
-2.2143113376,0.0000000000
8.3900000000,25.5509128661
34.8256553106,59.3810112450
0.7865298000,0.8739215070
-26.5288310961,-15.2065564344
0.8485870012,8.8945138359
35.9849032188,51.2390479886
-2.1451141083,0.0000000000
8.6865924172,16.7325192519
-2.2143113376,0.0000000000
0.0000000000,3.8135361925
0.0000000000,2.5423574616
0.0000000000,1.4300760722
15.2065564344,26.5288310961
0.0000000000,2.2143113376
0.0000000000,11.3222746617
0.0000000000,0.0000000000
0.0000000000,0.0000000000
-10.0000000000,-9.0466159519
0.0000000000,0.0000000000
0.0000000000,1.2711787308
15.7777877880,27.1000624497
20.9359541095,32.2582287712
0.0000000000,2.1451141083
0.0000000000,0.0000000000
-5.5599684243,-4.2887896934
-25.6195239943,-17.9924516094
-3.2148950477,-2.8934071753
0.0000000000,2.5423574616
0.0000000000,1.6742354016
1.1717119732,9.2176388079
0.0000000000,17.1609128661
0.0000000000,68.6436514642
0.0000000000,68.6436514642
0.0000000000,1000.0000000000
0.0000000000,0.0000000000
-0.5129059735,8.0459268347
0.0000000000,0.0000000000
0.0000000000,24.1377805041
9.8632409980,17.9091678327
9.0466159519,10.0000000000
0.2011156699,17.3620285359
0.0000000000,0.0000000000
-5.3588527544,13.0732388425
0.0000000000,17.1609128661
0.0000000000,17.1609128661
-1.2711787308,0.0000000000
0.0000000000,24.1377805041
-32.2582287712,-20.9359541095
0.8485870012,8.8945138359
0.0000000000,8.0459268347
-2.1451141083,0.0000000000
0.0000000000,8.0459268347
0.0000000000,0.0000000000
-3.2497044884,16.0918536694
0.0000000000,11.9358375173
0.0000000000,15.3185947404
32.6591778714,51.2390479886
0.0000000000,44.7593906897
4.2887896934,5.5599684243
17.9924516094,25.6195239943
0.0000000000,19.8881970551
1.1717119732,25.2905533202
0.0000000000,11.3222746617
-14.2990191131,9.8387613910
-17.9091678327,-9.8632409980
0.0000000000,24.1377805041
-16.7325192519,-8.6865924172
2.8934071753,3.2148950477
0.0000000000,20.3467781247
0.0000000000,17.1609128661
0.0000000000,17.1609128661
0.0000000000,3.8135361925
0.0000000000,21.3829002372
-2.5423574616,0.0000000000
-0.6209090069,15.5264960492
-8.6112844549,-0.5653576202
0.0000000000,22.8812171547
0.0000000000,22.8812171547
0.0000000000,1000.0000000000
-8.0459268347,0.0000000000
-0.1545362011,7.9052166535
0.0000000000,37.0418216166
-0.1545362011,7.9052166535
-0.4663728058,7.6212793957
1.1717119732,9.2176388079
